date,congress,url,member_id,member,party,roll_call,session,type
7/15/11,112,https://beta.congress.gov/congressional-record/2011/07/15/extensions-of-remarks-section/article/E1341-2,F000444,FLAKE OF ARIZONA,R,573,1,passage
7/13/11,112,https://beta.congress.gov/congressional-record/2011/07/13/extensions-of-remarks-section/article/E1308-1,C001068,COHEN OF TENNESSEE,D,537,1,amendment
7/12/11,112,https://beta.congress.gov/congressional-record/2011/07/12/extensions-of-remarks-section/article/E1300-4,S001172,SMITH OF NEBRASKA,R,526,1,amendment
7/8/11,112,https://beta.congress.gov/congressional-record/2011/07/08/extensions-of-remarks-section/article/E1272-5,S001162,SCHWARTZ OF PENNSYLVANIA,D,518,1,amendment
6/14/11,112,https://beta.congress.gov/congressional-record/2011/06/14/extensions-of-remarks-section/article/E1082-1,Q000023,QUIGLEY OF ILLINOIS,D,309,1,passage
6/14/11,112,https://beta.congress.gov/congressional-record/2011/06/14/extensions-of-remarks-section/article/E1089-4,S001155,SULLIVAN OF OKLAHOMA,R,414,1,amendment
6/3/11,112,https://beta.congress.gov/congressional-record/2011/06/14/extensions-of-remarks-section/article/E1089-4,M001169,MURPHY OF CONNECTICUT,D,414,1,amendment
6/3/11,112,https://beta.congress.gov/congressional-record/2011/06/03/extensions-of-remarks-section/article/E1037-6,M000485,MCINTYRE OF NORTH CAROLINA,D,395,1,amendment
6/3/11,112,https://beta.congress.gov/congressional-record/2011/06/03/extensions-of-remarks-section/article/E1040-2,M000725,MILLER OF CALIFORNIA,D,394,1,amendment
6/1/11,112,https://beta.congress.gov/congressional-record/2011/06/01/extensions-of-remarks-section/article/E1011-1,F000455,FUDGE OF OHIO,D,356,1,amendment
5/27/11,112,https://beta.congress.gov/congressional-record/2011/05/27/extensions-of-remarks-section/article/E984-2,R000581,RICHARDSON OF CALIFORNIA,D,344,1,amendment
5/23/11,112,https://beta.congress.gov/congressional-record/2011/05/23/extensions-of-remarks-section/article/E923-1,M000309,MCCARTHY OF NEW YORK,D,316,1,amendment
4/6/11,112,https://beta.congress.gov/congressional-record/2011/04/06/extensions-of-remarks-section/article/E650-2,L000565,LOEBSACK OF IOWA,D,209,1,amendment
4/5/11,112,https://beta.congress.gov/congressional-record/2011/04/05/extensions-of-remarks-section/article/E638-3,L000565,LOEBSACK OF IOWA,D,,1,passage
4/1/11,112,https://beta.congress.gov/congressional-record/2011/04/01/extensions-of-remarks-section/article/E596-2,C001087,CRAWFORD OF ARKANSAS,R,212,1,amendment
4/1/11,112,https://beta.congress.gov/congressional-record/2011/04/01/extensions-of-remarks-section/article/E600-5,H000528,HERGER OF CALIFORNIA,R,216,1,amendment
3/2/11,112,https://beta.congress.gov/congressional-record/2011/03/02/extensions-of-remarks-section/article/E401-1,S000510,SMITH OF WASHINGTON,D,133,1,amendment
3/1/11,112,https://beta.congress.gov/congressional-record/2011/03/01/extensions-of-remarks-section/article/E381-3,G000569,GRIMM OF NEW YORK,R,92,1,amendment
3/1/11,112,https://beta.congress.gov/congressional-record/2011/03/01/extensions-of-remarks-section/article/E385-1,D000216,DELAURO OF CONNECTICUT,D,,1,amendment
2/28/11,112,https://beta.congress.gov/congressional-record/2011/02/28/extensions-of-remarks-section/article/E335-1,M000485,MCINTYRE OF NORTH CAROLINA,D,92,1,amendment
2/18/11,112,https://beta.congress.gov/congressional-record/2011/02/18/extensions-of-remarks-section/article/E286-4,H001042,HIRONO OF HAWAII,D,,1,amendment
2/18/11,112,https://beta.congress.gov/congressional-record/2011/02/18/extensions-of-remarks-section/article/E290-1,H001032,HOLT OF NEW JERSEY,D,,1,amendment
